PC1;192.168.100.1;74:D4:35:FF:5F:7D;/mnt/dati
PC2;192.168.1.240;74:D4:35:FF:5E:6E;
PC3;192.168.100.3;74:D4:35:FF:5F:8B;
PC4;192.168.100.4;74:D4:35:FE:52:0C;
PC5;192.168.100.5;FF:FF:FF:FF:FF:FF;
PC6;192.168.100.6;74:D4:35:FF:5F:73;
PC7;192.168.100.7;74:D4:35:FE:52:07;
PC8;192.168.100.8;74:D4:35:FE:53:10;
PC9;192.168.100.9;74:D4:35:FE:52:36;
PC10;192.168.100.10;74:D4:35:FF:60:65;
PC11;192.168.100.11;FF:FF:FF:FF:FF:FF;
PC12;192.168.100.12;74:D4:35:FE:52:35;
PC13;192.168.100.13;74:D4:35:FF:5F:7F;
PC14;localhost;74:D4:35:FF:61:FE;
PC15;192.168.100.15;74:D4:35:FE:51:F1;
PC16;192.168.100.16;74:D4:35:FF:5F:B4;
PC17;192.168.100.17;74:D4:35:FE:53:11;
PC18;192.168.100.18;74:D4:35:FF:61:E1;
PC19;192.168.100.19;FF:FF:FF:FF:FF:FF;
PC20;192.168.100.20;74:D4:35:FF:5E:82;
PC21;192.168.100.21;74:D4:35:FE:53:06;
PC22;192.168.100.22;74:D4:35:FE:53:14;
PC23;192.168.100.23;74:D4:35:FE:52:AB;
PC24;192.168.100.24;74:D4:35:FE:52:25;
PC25;192.168.100.25;74:D4:35:FF:5E:5A;
PC26;192.168.100.26;74:D4:35:FF:5F:89;
PC27;192.168.100.27;74:D4:35:FE:52:0A;
PC28;192.168.100.28;74:D4:35:FF:5E:93;
PC29;192.168.100.29;74:D4:35:FE:51:ED;
